df,tfidf,K,alpha,eta,coherence
0.5,0.0075,250,asymmetric,auto,0.462765218
0.5,0.0075,270,asymmetric,auto,0.458528039605875
0.5,0.0075,290,asymmetric,auto,0.4691052945054733
0.5,0.0075,310,asymmetric,auto,0.4714166899340742
0.5,0.0075,330,asymmetric,auto,0.4735232471570393
0.5,0.0075,350,asymmetric,auto,0.472389872
0.5,0.0075,370,asymmetric,auto,0.476770621721157
0.5,0.0075,390,asymmetric,auto,0.4810323974069346
0.5,0.0075,410,asymmetric,auto,0.4814230660611533
0.5,0.0075,430,asymmetric,auto,0.4829966031486857
0.5,0.0075,450,asymmetric,auto,0.475810362
0.5,0.0075,470,asymmetric,auto,0.4861040517912897
0.5,0.0075,490,asymmetric,auto,0.4806032754698232
0.5,0.0075,510,asymmetric,auto,0.4801130918503616
0.5,0.0075,530,asymmetric,auto,0.48724865381116
0.5,0.0075,550,asymmetric,auto,0.486470375
0.5,0.0075,570,asymmetric,auto,0.4831520554258456
0.5,0.0075,590,asymmetric,auto,0.47484226474037255
0.5,0.0075,610,asymmetric,auto,0.48105769965419337
0.5,0.0075,630,asymmetric,auto,0.4815750303465825
0.5,0.0075,650,asymmetric,auto,0.471000408
0.5,0.0075,670,asymmetric,auto,0.47441555601401686
0.5,0.0075,690,asymmetric,auto,0.47601572123352814
0.5,0.0075,710,asymmetric,auto,0.4657611516189916
0.5,0.0075,730,asymmetric,auto,0.47124031936609767
0.5,0.0075,750,asymmetric,auto,0.463946306
