df,tfidf,K,alpha,eta,coherence
0.5,0.0075,540,asymmetric,auto,0.4860946174158275
0.5,0.0075,542,asymmetric,auto,0.4786846546653872
0.5,0.0075,544,asymmetric,auto,0.4812729294062933
0.5,0.0075,546,asymmetric,auto,0.4782248224101937
0.5,0.0075,548,asymmetric,auto,0.4799588683278411
0.5,0.0075,550,asymmetric,auto,0.4818606234989672
0.5,0.0075,552,asymmetric,auto,0.481874994515567
0.5,0.0075,554,asymmetric,auto,0.4794131517649923
0.5,0.0075,556,asymmetric,auto,0.479828671395027
0.5,0.0075,558,asymmetric,auto,0.4814420949300225
0.5,0.0075,560,asymmetric,auto,0.4856771726964924
0.5,0.0075,562,asymmetric,auto,0.4849115246170899
0.5,0.0075,564,asymmetric,auto,0.48266080884467155
0.5,0.0075,566,asymmetric,auto,0.4804489433312812
