df,tfidf,K,alpha,eta,coherence
0.5,0.0075,50,asymmetric,auto,0.301542639
0.5,0.0075,100,asymmetric,auto,0.369354161
0.5,0.0075,150,asymmetric,auto,0.413169361
0.5,0.0075,200,asymmetric,auto,0.431369443
0.5,0.0075,250,asymmetric,auto,0.462765218
0.5,0.0075,300,asymmetric,auto,0.469947509
0.5,0.0075,350,asymmetric,auto,0.472389872
0.5,0.0075,400,asymmetric,auto,0.476464369
0.5,0.0075,450,asymmetric,auto,0.475810362
0.5,0.0075,500,asymmetric,auto,0.483240187
0.5,0.0075,550,asymmetric,auto,0.486470375
0.5,0.0075,600,asymmetric,auto,0.478954647
0.5,0.0075,650,asymmetric,auto,0.471000408
0.5,0.0075,700,asymmetric,auto,0.474458771
0.5,0.0075,750,asymmetric,auto,0.46394630587657276
0.5,0.0075,800,asymmetric,auto,0.45746206290227365
0.5,0.0075,850,asymmetric,auto,0.45665213778854663
0.5,0.0075,900,asymmetric,auto,0.4488356013825843
0.5,0.0075,950,asymmetric,auto,0.4450913315546216
0.5,0.0075,1000,asymmetric,auto,0.43026462276482674
