,Papers,publications,pids
"ABRAHAM, AJITH","['Meta learning evolutionary artificial neural networks', 'Neuro-fuzzy modelling in support of knowledge management in social regulation of access to cigarettes by minors', 'An ensemble of neural networks for weather forecasting', 'Decision support systems using hybrid neurocomputing', 'Feature selection and classification using flexible neural tree', 'Flexible neural trees ensemble for stock index modeling', 'Ensemble of hybrid neural network learning approaches for designing pharmaceutical drugs', 'Automatic design of hierarchical Takagi-Sugeno type fuzzy systems using evolutionary algorithms', 'Chaotic dynamic characteristics in swarm intelligence', 'Hybrid multi-agent framework for detection of stealthy probes', 'Weather analysis using ensemble of connectionist learning paradigms', 'Multicriteria programming in medical diagnosis and treatments', 'Design of fractional-order (PID mu)-D-lambda controllers with an improved differential evolution', 'Online hybrid traffic classifier for Peer-to-Peer systems based on network processors', 'SHOMAS: Intelligent guidance and suggestions in shopping centres', 'MOVIH-IDS: A mobile-visualization hybrid intrusion detection system', 'Artificial bee colony algorithm for small signal model parameter extraction of MESFET', 'Exploratory Power of the Harmony Search Algorithm: Analysis and Improvements for Global Numerical Optimization', 'Fuzzy C-means and fuzzy swarm for fuzzy clustering problem', 'A new weighted rough set framework based classification for Egyptian NeoNatal Jaundice', 'Hierarchical multi-dimensional differential evolution for the design of beta basis function neural network', 'Analysis of strategy in robot soccer game', 'A hybrid learning algorithm for evolving Flexible Beta Basis Function Neural Tree Model', 'Adaptive dynamic surface control with Nussbaum gain for course-keeping of ships', 'Design of intelligent PID/(PID mu)-D-lambda speed controller for chopper fed DC motor drive using opposition based artificial bee colony algorithm', 'A human-computer cooperative particle swarm optimization based immune algorithm for layout design', 'Cooperative game theoretic approach using fuzzy Q-learning for detecting and preventing intrusions in wireless sensor networks', 'An adaptive PID neural network for complex nonlinear system control', 'A novel approach for comparing web sites by using MicroGenres', 'A comparative study of the improvement of performance using a PSO modified by ACO applied to TSP', 'Group-enhanced ranking', 'Hybrid evolutionary algorithms for classification data mining', 'A tractable multiple agents protocol and algorithm for resource allocation under price rigidities', 'Nonlinear multiscale Maximal Lyapunov Exponent for accurate myoelectric signal classification', 'A self adaptive harmony search based functional link higher order ANN for non-linear data classification', 'Evolving flexible beta basis function neural tree using extended genetic programming & Hybrid Artificial Bee Colony', 'Multi-agent architecture for Multi-objective optimization of Flexible Neural Tree', 'Granular transfer learning using type-2 fuzzy HMM for text sequence recognition', 'An evolutionary gray gradient algorithm for multilevel thresholding of brain MR images using soft computing techniques', 'Ensemble of heterogeneous flexible neural trees using multiobjective genetic programming', 'Metaheuristic design of feedforward neural networks: A review of two decades of research', 'An evolutionary single Gabor kernel based filter approach to face recognition', 'Hybrid chemical reaction based metaheuristic with fuzzy c-means algorithm for optimal cluster analysis', 'Optimal breast cancer classification using Gauss-Newton representation based algorithm', 'Ideology algorithm: a socio-inspired optimization methodology', 'Rough set-BPSO model for predicting vitamin D deficiency in apparently healthy Kuwaiti women based on hair mineral analysis', 'Accelerating nearest neighbor partitioning neural network classifier based on CUDA', 'Design of optimal high pass and band stop FIR filters using adaptive Cuckoo search algorithm', 'Multiobjective Programming for Type-2 Hierarchical Fuzzy Inference Trees', 'Predictive modeling of die filling of the pharmaceutical granules using the flexible neural tree', 'Evolutionary static and dynamic clustering algorithms based on multi-verse optimizer', 'Neural network and fuzzy system for the tuning of Gravitational Search Algorithm parameters', 'Orthogonal Taguchi-based cat algorithm for solving task scheduling problem in cloud computing', 'Elitist teaching-learning-based optimization (ETLBO) with higher-order Jordan Pi-sigma neural network: a comparative performance analysis', 'Nested cross-validation based adaptive sparse representation algorithm and its application to pathological brain classification', 'Industry 4.0: A bibliometric analysis and detailed overview', 'Segmentation of weather radar image based on hazard severity using RDE: reconstructed mutation strategy for differential evolution algorithm', 'Knowledge building through optimized classification rule set generation using genetic based elitist multi objective approach', 'Improving the effectiveness of keyword search in databases using query logs', 'Adaptive memetic method of multi-objective genetic evolutionary algorithm for backpropagation neural network', 'Heuristic design of fuzzy inference systems: A review of three decades of research', 'Engineering applications of artificial intelligence: A bibliometric analysis of 30 years (1988-2018)', 'A novel quantum inspired algorithm for sparse fuzzy cognitive maps learning', 'Estimating cement compressive strength using three-dimensional microstructure images and deep belief network', 'Text-line extraction from handwritten document images using GAN', 'Adversarial neural networks for playing hide-and-search board game Scotland Yard', 'Differential Evolution: A review of more than two decades of research', 'Emotional, affective and biometrical states analytics of a built environment', 'A CLSTM-TMN for marketing intention detection', ""Detecting tumours by segmenting MRI images using transformed differential evolution algorithm with Kapur's thresholding"", 'A bibliometric analysis and cutting-edge overview on fuzzy techniques in Big Data', 'A wrapper-filter feature selection technique based on ant colony optimization', 'Cloud customers service selection scheme based on improved conventional cat swarm optimization', 'A novel interdependence based multilevel thresholding technique using adaptive equilibrium optimizer', 'Modified Social Group Optimization-a meta-heuristic algorithm to solve short-term hydrothermal scheduling', 'An adaptive Harris hawks optimization technique for two dimensional grey gradient based multilevel image thresholding', 'Fuzzy mutation embedded hybrids of gravitational search and Particle Swarm Optimization methods for engineering design problems', 'Deep learning in electrical utility industry: A comprehensive review of a decade of research', 'Rough computing - A review of abstraction, hybridization and extent of applications', 'A systematic mapping study on solving university timetabling problems using meta-heuristic algorithms', 'Digital watermarking with improved SMS applied for QR code', 'Diurnal emotions, valence and the coronavirus lockdown analysis in public spaces', 'Attention-based learning of self-media data for marketing intention detection', 'An integrated sustainable medical supply chain network during COVID-19', 'A novel evolutionary row class entropy based optimal multi-level thresholding technique for brain MR images', 'Improved coral reefs optimization with adaptive beta-hill climbing for feature selection', 'Maximum 3D Tsallis entropy based multilevel thresholding of brain MR image using attacking Manta Ray foraging optimization', 'Industry 4.0: Latent Dirichlet Allocation and clustering based theme identification of bibliography', 'Crowd counting based on attention-guided multi-scale fusion networks', 'A multi-objective particle swarm for constraint and unconstrained problems', 'Fusion of intelligent learning for COVID-19: A state-of-the-art review and analysis on real medical data', 'A hybrid artificial bee colony with whale optimization algorithm for improved breast cancer diagnosis', 'An entropy minimization based multilevel colour thresholding technique for analysis of breast thermograms using equilibrium slime mould algorithm', 'Customer classification: A Mamdani fuzzy inference system standpoint for modifying the failure mode and effect analysis based three dimensional approach', 'Fractional-order comprehensive learning marine predators algorithm for global optimization and feature selection', 'Dominant color component and adaptive whale optimization algorithm for multilevel thresholding of color images', 'Differential exponential entropy-based multilevel threshold selection methodology for colour satellite images using equilibrium-cuckoo search optimizer', 'A systematic literature review on software defect prediction using artificial intelligence: Datasets, Data Validation Methods, Approaches, and Tools', 'Taylor-based optimized recursive extended exponential smoothed neural networks forecasting method', 'Dynamic scheduling of heterogeneous resources across mobile edge-cloud continuum using fruit fly-based simulated annealing optimization scheme', 'DC-CNN: Dual-channel Convolutional Neural Networks with attention-pooling for fake news detection', 'Gated graph convolutional network based on spatio-temporal semi-variogram for link prediction in dynamic complex network', 'A new humanitarian relief logistic network for multi-objective optimization under stochastic programming', 'Segmentation on remote sensing imagery for atmospheric air pollution using divergent differential evolution algorithm', 'Resource scheduling methods for cloud computing environment: The role of meta-heuristics and artificial intelligence', 'Long text feature extraction network with data augmentation']",106,
"BENGIO, YOSHUA","['Exploring Strategies for Training Deep Neural Networks', 'Incorporating Functional Knowledge in Neural Networks', 'Why Does Unsupervised Pre-training Help Deep Learning?', 'Word representations: A simple and general method for semi-supervised learning', 'Stacked Denoising Autoencoders: Learning Useful Representations in a Deep Network with a Local Denoising Criterion', 'Random Search for Hyper-Parameter Optimization', 'Learning Algorithms for the Classification Restricted Boltzmann Machine', 'Disentangling Factors of Variation for Facial Expression Recognition', 'A Semantic Matching Energy Function for Learning with Multi-relational Data', 'Knowledge Matters: Importance of Prior Information for Optimization', 'Joint Training Deep Boltzmann Machines for Classification', 'Metric-Free Natural Gradient for Joint-Training of Boltzmann Machines', 'Big Neural Networks Waste Capacity', 'Natural Gradient Revisited', 'Regularized Auto-Encoders Estimate Local Statistics', 'Scaling Up Spike-and-Slab Models for Unsupervised Feature Learning', 'Representation Learning: A Review and New Perspectives', 'Bounding the Test Log-Likelihood of Generative Models.', 'Multimodal Transitions for Generative Stochastic Networks.', 'How to Construct Deep Recurrent Neural Networks.', 'On the number of inference regions of deep feed forward networks with piece-wise linear activations.', 'An empirical analysis of dropout in piecewise linear networks.', 'Revisiting Natural Gradient for Deep Networks', 'An Empirical Investigation of Catastrophic Forgeting in Gradient-Based Neural Networks.', 'Deep Generative Stochastic Networks Trainable by Backprop', 'Marginalized Denoising Auto-encoders for Nonlinear Representations', 'On the Challenges of Physical Implementations of RBMs', 'Learning Concept Embeddings for Query Expansion by Quantum Entropy Minimization', 'The Spike-and-Slab RBM and Extensions to Discrete and Sparse Data Distributions', 'What Regularized Auto-Encoders Learn from the Data-Generating Distribution', 'Generative Adversarial Nets', 'Iterative Neural Autoregressive Distribution Estimator (NADE-k)', 'Identifying and attacking the saddle point problem in high-dimensional non-convex optimization', 'How transferable are features in deep neural networks ?', 'On the Number of Linear Regions of Deep Neural Networks', 'Challenges in representation learning: A report on three machine learning contests', 'FitNets: Hints for Thin Deep Nets.', 'NICE: Non-linear Independent Components Estimation.', 'Low precision arithmetic for deep learning.', 'Reweighted Wake-Sleep.', 'Neural Machine Translation by Jointly Learning to Align and Translate.', 'Target Propagation.', 'Ensemble of Generative and Discriminative Techniques for Sentiment Analysis of Movie Reviews.', 'Embedding Word Similarity with Neural Machine Translation.', 'On Using Very Large Target Vocabulary for Neural Machine Translation', 'Show, Attend and Tell: Neural Image Caption Generation with Visual Attention', 'BilBOWA: Fast Bilingual Distributed Representations without Word Alignments', 'Gated Feedback Recurrent Neural Networks', 'BinaryConnect: Training Deep Neural Networks with binary weights during propagations', 'Attention-Based Models for Speech Recognition', 'A Recurrent Latent Variable Model for Sequential Data', 'Equilibrated adaptive learning rates for non-convex optimization', 'Building End-to-End Dialogue Systems Using Generative Hierarchical Neural Network Models', 'Neural Networks with Few Multiplications.', 'Noisy Activation Functions', 'Unitary Evolution Recurrent Neural Networks', 'Deconstructing the Ladder Network Architecture', 'Bidirectional Helmholtz Machines', 'ReSeg: A Recurrent Neural Network-based Model for Semantic Segmentation', 'A Character-Level Decoder without Explicit Segmentation for Neural Machine Translation', 'Pointing the Unknown Words', 'Generating Factoid Questions With Recurrent Neural Networks: The 30M Factoid Question-Answer Corpus', 'A Hierarchical Latent Variable Encoder-Decoder Model for Generating Dialogues', 'Denoising Criterion for Variational Auto-Encoding Framework', 'Multiresolution Recurrent Neural Networks: An Application to Dialogue Response Generation', 'Towards an Automatic Turing Test: Learning to Evaluate Dialogue Responses', 'A Closer Look at Memorization in Deep Networks', 'Sharp Minima Can Generalize For Deep Nets', 'Count-ception: Counting by Fully Convolutional Redundant Counting', 'GibbsNet: Iterative Adversarial Inference for Deep Graphical Models', 'Variational Walkback: Learning a Transition Operator as a Stochastic Recurrent Net', 'Z-Forcing: Training Stochastic Recurrent Networks', 'Plan, Attend, Generate: Planning for Sequence-to-Sequence Models', 'Fine-grained attention mechanism for neural machine translation', 'Drawing and Recognizing Chinese Characters with Recurrent Neural Network', 'Straight to the Tree: Constituency Parsing with Neural Syntactic Distance', 'Focused Hierarchical RNNs for Conditional Sequence Processing', 'Mutual Information Neural Estimation', 'Image-to-image translation for cross-domain disentanglement', 'MetaGAN: An Adversarial Approach to Few-Shot Learning', 'Bayesian Model-Agnostic Meta-Learning', 'Dendritic cortical microcircuits approximate the backpropagation algorithm', 'Sparse Attentive Backtracking: Temporal Credit Assignment Through Reminding', 'Towards Non-Saturating Recurrent Units for Modelling Long-Term Dependencies', 'Combined Reinforcement Learning via Abstract Representations', 'Manifold Mixup: Better Representations by Interpolating Hidden States', 'GMNN: Graph Markov Neural Networks', 'On the Spectral Bias of Neural Networks', 'State-Reification Networks: Improving Generalization by Modeling the Distribution of Hidden Representations', 'Do Neural Dialog Systems Use the Conversation History Effectively? An Empirical Study', 'Interpolation Consistency Training for Semi-Supervised Learning', 'Tell, Draw, and Repeat: Generating and Modifying Images Based on Continual Linguistic Instruction', 'Depth with nonlinearity creates no bad local minima in ResNets', 'Learning Fixed Points in Generative Adversarial Networks: From Image-to-Image Translation to Disease Detection and Localization', 'Interactive Language Learning by Question Answering', 'MelGAN: Generative Adversarial Networks for Conditional Waveform Synthesis', 'Updates of Equilibrium Prop Match Gradients of Backprop Through Time in an RNN with Static Input', 'Unsupervised State Representation Learning in Atari', 'Non-normal Recurrent Neural Network (nnRNN): learning long time dependencies while improving expressivity with transient dynamics', 'Variational Temporal Abstraction', 'How to Initialize your Network? Robust Initialization for WeightNorm & ResNets', 'On Adversarial Mixup Resynthesis', 'Wasserstein Dependency Measure for Representation Learning', 'Gradient based sample selection for online continual learning', 'Combating False Negatives in Adversarial Imitation Learning', 'Compositional generalization by factorizing alignment and translation', 'Revisiting Fundamentals of Experience Replay', 'Learning to Navigate The Synthetically Accessible Chemical Space Using Reinforcement Learning', 'On the interplay between noise and curvature and its effect on optimization and generalization', 'Experience Grounds Language', 'Object-Centric Image Generation from Layouts', 'Meta-Learning Framework with Applications to Zero-Shot Time-Series Forecasting', 'GraphMix: Improved Training of GNNs for Semi-Supervised Learning', 'Visual Concept Reasoning Networks', 'Parameterizing Branch-and-Bound Search Trees to Learn Branching Policies', 'Deep Verifier Networks: Verification of Deep Discriminative Models with Deep Generative Models', 'An Analysis of the Adaptation Speed of Causal Models', 'Neural Function Modules with Sparse Arguments: A Dynamic Approach to Integrating Information across Layers', 'An End-to-End Framework for Molecular Conformation Generation via Bilevel Programming', 'FloW: A Dataset and Benchmark for Floating Waste Detection in Inland Waters', 'Interpolation consistency training for semi-supervised learning', 'A Two-Stream Continual Learning System With Variational Domain-Agnostic Feature Replay', 'Interpolated Adversarial Training: Achieving robust neural networks without sacrificing too much accuracy']",123,
