,Papers,publications,pids
"ABRAHAM, AJITH","['Meta learning evolutionary artificial neural networks', 'Neuro-fuzzy modelling in support of knowledge management in social regulation of access to cigarettes by minors', 'An ensemble of neural networks for weather forecasting', 'Decision support systems using hybrid neurocomputing', 'Feature selection and classification using flexible neural tree', 'Flexible neural trees ensemble for stock index modeling', 'Ensemble of hybrid neural network learning approaches for designing pharmaceutical drugs', 'Automatic design of hierarchical Takagi-Sugeno type fuzzy systems using evolutionary algorithms', 'Chaotic dynamic characteristics in swarm intelligence', 'Hybrid multi-agent framework for detection of stealthy probes', 'Weather analysis using ensemble of connectionist learning paradigms', 'Multicriteria programming in medical diagnosis and treatments', 'Design of fractional-order (PID mu)-D-lambda controllers with an improved differential evolution', 'Online hybrid traffic classifier for Peer-to-Peer systems based on network processors', 'SHOMAS: Intelligent guidance and suggestions in shopping centres', 'MOVIH-IDS: A mobile-visualization hybrid intrusion detection system', 'Artificial bee colony algorithm for small signal model parameter extraction of MESFET', 'Exploratory Power of the Harmony Search Algorithm: Analysis and Improvements for Global Numerical Optimization', 'Fuzzy C-means and fuzzy swarm for fuzzy clustering problem', 'A new weighted rough set framework based classification for Egyptian NeoNatal Jaundice', 'Hierarchical multi-dimensional differential evolution for the design of beta basis function neural network', 'Analysis of strategy in robot soccer game', 'A hybrid learning algorithm for evolving Flexible Beta Basis Function Neural Tree Model', 'Adaptive dynamic surface control with Nussbaum gain for course-keeping of ships', 'Design of intelligent PID/(PID mu)-D-lambda speed controller for chopper fed DC motor drive using opposition based artificial bee colony algorithm', 'A human-computer cooperative particle swarm optimization based immune algorithm for layout design', 'Cooperative game theoretic approach using fuzzy Q-learning for detecting and preventing intrusions in wireless sensor networks', 'An adaptive PID neural network for complex nonlinear system control', 'A novel approach for comparing web sites by using MicroGenres', 'A comparative study of the improvement of performance using a PSO modified by ACO applied to TSP', 'Group-enhanced ranking', 'Hybrid evolutionary algorithms for classification data mining', 'A tractable multiple agents protocol and algorithm for resource allocation under price rigidities', 'Nonlinear multiscale Maximal Lyapunov Exponent for accurate myoelectric signal classification', 'A self adaptive harmony search based functional link higher order ANN for non-linear data classification', 'Evolving flexible beta basis function neural tree using extended genetic programming & Hybrid Artificial Bee Colony', 'Multi-agent architecture for Multi-objective optimization of Flexible Neural Tree', 'Granular transfer learning using type-2 fuzzy HMM for text sequence recognition', 'An evolutionary gray gradient algorithm for multilevel thresholding of brain MR images using soft computing techniques', 'Ensemble of heterogeneous flexible neural trees using multiobjective genetic programming', 'Metaheuristic design of feedforward neural networks: A review of two decades of research', 'An evolutionary single Gabor kernel based filter approach to face recognition', 'Hybrid chemical reaction based metaheuristic with fuzzy c-means algorithm for optimal cluster analysis', 'Optimal breast cancer classification using Gauss-Newton representation based algorithm', 'Ideology algorithm: a socio-inspired optimization methodology', 'Rough set-BPSO model for predicting vitamin D deficiency in apparently healthy Kuwaiti women based on hair mineral analysis', 'Accelerating nearest neighbor partitioning neural network classifier based on CUDA', 'Design of optimal high pass and band stop FIR filters using adaptive Cuckoo search algorithm', 'Multiobjective Programming for Type-2 Hierarchical Fuzzy Inference Trees', 'Predictive modeling of die filling of the pharmaceutical granules using the flexible neural tree', 'Evolutionary static and dynamic clustering algorithms based on multi-verse optimizer', 'Neural network and fuzzy system for the tuning of Gravitational Search Algorithm parameters', 'Orthogonal Taguchi-based cat algorithm for solving task scheduling problem in cloud computing', 'Elitist teaching-learning-based optimization (ETLBO) with higher-order Jordan Pi-sigma neural network: a comparative performance analysis', 'Nested cross-validation based adaptive sparse representation algorithm and its application to pathological brain classification', 'Industry 4.0: A bibliometric analysis and detailed overview', 'Segmentation of weather radar image based on hazard severity using RDE: reconstructed mutation strategy for differential evolution algorithm', 'Knowledge building through optimized classification rule set generation using genetic based elitist multi objective approach', 'Improving the effectiveness of keyword search in databases using query logs', 'Adaptive memetic method of multi-objective genetic evolutionary algorithm for backpropagation neural network', 'Heuristic design of fuzzy inference systems: A review of three decades of research', 'Engineering applications of artificial intelligence: A bibliometric analysis of 30 years (1988-2018)', 'A novel quantum inspired algorithm for sparse fuzzy cognitive maps learning', 'Estimating cement compressive strength using three-dimensional microstructure images and deep belief network', 'Text-line extraction from handwritten document images using GAN', 'Adversarial neural networks for playing hide-and-search board game Scotland Yard', 'Differential Evolution: A review of more than two decades of research', 'Emotional, affective and biometrical states analytics of a built environment', 'A CLSTM-TMN for marketing intention detection', ""Detecting tumours by segmenting MRI images using transformed differential evolution algorithm with Kapur's thresholding"", 'A bibliometric analysis and cutting-edge overview on fuzzy techniques in Big Data', 'A wrapper-filter feature selection technique based on ant colony optimization', 'Cloud customers service selection scheme based on improved conventional cat swarm optimization', 'A novel interdependence based multilevel thresholding technique using adaptive equilibrium optimizer', 'Modified Social Group Optimization-a meta-heuristic algorithm to solve short-term hydrothermal scheduling', 'An adaptive Harris hawks optimization technique for two dimensional grey gradient based multilevel image thresholding', 'Fuzzy mutation embedded hybrids of gravitational search and Particle Swarm Optimization methods for engineering design problems', 'Deep learning in electrical utility industry: A comprehensive review of a decade of research', 'Rough computing - A review of abstraction, hybridization and extent of applications', 'A systematic mapping study on solving university timetabling problems using meta-heuristic algorithms', 'Digital watermarking with improved SMS applied for QR code', 'Diurnal emotions, valence and the coronavirus lockdown analysis in public spaces', 'Attention-based learning of self-media data for marketing intention detection', 'An integrated sustainable medical supply chain network during COVID-19', 'A novel evolutionary row class entropy based optimal multi-level thresholding technique for brain MR images', 'Improved coral reefs optimization with adaptive beta-hill climbing for feature selection', 'Maximum 3D Tsallis entropy based multilevel thresholding of brain MR image using attacking Manta Ray foraging optimization', 'Industry 4.0: Latent Dirichlet Allocation and clustering based theme identification of bibliography', 'Crowd counting based on attention-guided multi-scale fusion networks', 'A multi-objective particle swarm for constraint and unconstrained problems', 'Fusion of intelligent learning for COVID-19: A state-of-the-art review and analysis on real medical data', 'A hybrid artificial bee colony with whale optimization algorithm for improved breast cancer diagnosis', 'An entropy minimization based multilevel colour thresholding technique for analysis of breast thermograms using equilibrium slime mould algorithm', 'Customer classification: A Mamdani fuzzy inference system standpoint for modifying the failure mode and effect analysis based three dimensional approach', 'Fractional-order comprehensive learning marine predators algorithm for global optimization and feature selection', 'Dominant color component and adaptive whale optimization algorithm for multilevel thresholding of color images', 'Differential exponential entropy-based multilevel threshold selection methodology for colour satellite images using equilibrium-cuckoo search optimizer', 'A systematic literature review on software defect prediction using artificial intelligence: Datasets, Data Validation Methods, Approaches, and Tools', 'Taylor-based optimized recursive extended exponential smoothed neural networks forecasting method', 'Dynamic scheduling of heterogeneous resources across mobile edge-cloud continuum using fruit fly-based simulated annealing optimization scheme', 'DC-CNN: Dual-channel Convolutional Neural Networks with attention-pooling for fake news detection', 'Gated graph convolutional network based on spatio-temporal semi-variogram for link prediction in dynamic complex network', 'A new humanitarian relief logistic network for multi-objective optimization under stochastic programming', 'Segmentation on remote sensing imagery for atmospheric air pollution using divergent differential evolution algorithm', 'Resource scheduling methods for cloud computing environment: The role of meta-heuristics and artificial intelligence', 'Long text feature extraction network with data augmentation']",106,
"ALSAADI, FUAD E.","['New results on robust finite-time boundedness of uncertain switched neural networks with time-varying delays', 'Almost sure H-infinity sliding mode control for nonlinear stochastic systems with Markovian switching and time-delays', 'Event-triggered H infinity state estimation for discrete-time stochastic genetic regulatory networks with Markovian jumping parameters and time-varying delays', 'Almost periodic solution for a neutral-type neural networks with distributed leakage delays on time scales', 'Non-fragile state estimation for discrete Markovian jumping neural networks', 'Design of non-fragile state estimators for discrete time-delayed neural networks with parameter uncertainties', 'State estimation for a class of artificial neural networks with stochastically corrupted measurements under Round-Robin protocol', 'Nonfragile H-infinity Fuzzy Filtering With Randomly Occurring Gain Variations and Channel Fadings', 'A new approach to non-fragile state estimation for continuous neural networks with time-delays', 'Delay-distribution-dependent H-infinity state estimation for delayed neural networks with (x, v)-dependent noises and fading channels', 'Finite-time synchronization of uncertain coupled switched neural networks under asynchronous switching', 'Adaptive fuzzy prescribed performance controller design for a class of uncertain fractional-order nonlinear systems with external disturbances', 'On scheduling of deception attacks for discrete-time networked systems equipped with attack detectors', 'Robust H-infinity Filtering for a Class of Two-Dimensional Uncertain Fuzzy Systems With Randomly Occurring Mixed Delays', 'A new switching control for finite-time synchronization of memristor-based recurrent neural networks', 'Further results on passivity analysis of delayed neural networks with leakage delay', 'Exponential synchronization via pinning adaptive control for complex networks of networks with time delays', 'H-infinity state estimation for artificial neural networks over redundant channels', 'H-infinity state estimation for memristive neural networks with multiple fading measurements', 'Global exponential stability and dissipativity of generalized neural networks with time-varying delay signals', 'A survey of deep neural network architectures and their applications', 'A switching delayed PSO optimized extreme learning machine for short-term load forecasting', 'H-infinity state estimation for discrete-time neural networks with distributed delays and randomly occurring uncertainties through Fading channels', 'Robust fixed-time synchronization for uncertain complex-valued neural networks with discontinuous activation functions', 'Global asymptotic stability of impulsive fractional-order complex-valued neural networks with time delay', 'Lagrange stability analysis for complex-valued neural networks with leakage delay and mixed time-varying delays', 'Finite-time stability analysis of fractional-order complex-valued memristor-based neural networks with both leakage and time-varying delays', 'Global mu-stability of quaternion-valued neural networks with non-differentiable time-varying delays', 'A niching evolutionary algorithm with adaptive negative correlation learning for neural network ensemble', 'Design and analysis of H-infinity filter for a class of T-S fuzzy system with redundant channels and multiplicative noises', 'Event-Based H-infinity State Estimation for Time-Varying Stochastic Dynamical Networks With State- and Disturbance-Dependent Noises', 'Set stabilization of Boolean networks under pinning control strategy', 'Almost automorphic solution for neutral type high-order Hopfield BAM neural networks with time-varying leakage delays on time scales', 'Event-triggered control for sampled-data cluster formation of multi-agent systems', 'Comparative Performance of Complex-Valued B-Spline and Polynomial Models Applied to Iterative Frequency-Domain Decision Feedback Equalization of Hammerstein Channels', 'A general memristor model and its applications in programmable analog circuits', 'Dynamics of complex-valued neural networks with variable coefficients and proportional delays', 'A resilience approach to state estimation for discrete neural networks subject to multiple missing measurements and mixed time-delays', 'Variable structure controller design for Boolean networks', 'Further results on L-2 - L-infinity state estimation of delayed neural networks', 'Particle filtering for networked nonlinear systems subject to random one-step sensor delay and missing measurements', 'A modified distributed optimization method for both continuous-time and discrete-time multi-agent systems', 'A Gain-Scheduling Approach to Nonfragile H-infinity Fuzzy Control Subject to Fading Channels', 'Global exponential stability and lag synchronization for delayed memristive fuzzy Cohen-Grossberg BAM neural networks with impulses', 'State estimation for delayed neural networks with stochastic communication protocol: The finite-time case', 'l(2) - l(infinity) state estimation for discrete-time switched neural networks with time-varying delay', 'Event-based H-infinity fault estimation for networked time-varying systems with randomly occurring nonlinearities and (x, v)-dependent noises', 'Finite-Time State Estimation for Recurrent Delayed Neural Networks With Component-Based Event-Triggering Protocol', 'Unified synchronization criteria in an array of coupled neural networks with hybrid impulses', 'Global mu-stability of quaternion-valued neural networks with mixed time-varying delays', 'Stability analysis for discrete-time stochastic memristive neural networks with both leakage and probabilistic delays', 'Boundedness and global robust stability analysis of delayed complex-valued neural networks with interval parameter uncertainties', 'Partial-Nodes-Based State Estimation for Complex Networks With Unbounded Distributed Delays', 'Global mu-synchronization of impulsive complex-valued neural networks with leakage delay and mixed time-varying delays', 'State estimation of complex-valued neural networks with two additive time-varying delays', 'Open-circuit fault diagnosis of power rectifier using sparse autoencoder based deep neural network', 'Robust H-infinity state estimation for BAM neural networks with randomly occurring uncertainties and sensor saturations', 'Robust adaptive neural control for pure-feedback stochastic nonlinear systems with Prandtl-Ishlinskii hysteresis', 'Further synchronization in finite time analysis for time-varying delayed fractional order memristive competitive neural networks with leakage delay', 'Adaptive neural-network-based tracking control strategy of nonlinear switched non-lower triangular systems with unmodeled dynamics', 'On passivity and robust passivity for discrete-time stochastic neural networks with randomly occurring mixed time delays', 'Periodicity of Cohen-Grossberg-type fuzzy neural networks with impulses and time-varying delays', 'Synchronization in uncertain fractional-order memristive complex-valued neural networks with multiple time delays', 'Synchronization of complex-valued neural networks with mixed two additive time-varying delays', 'Adaptive Neural State-Feedback Tracking Control of Stochastic Nonlinear Switched Systems: An Average Dwell-Time Method', 'Synchronization of two nonidentical complex-valued neural networks with leakage delay and time-varying delays', 'Exponential synchronization of semi-Markovian coupled neural networks with mixed delays via tracker information and quantized output controller', 'Adaptive finite-time dynamic surface tracking control of nonaffine nonlinear systems with dead zone', 'Periodicity of impulsive Cohen-Grossberg-type fuzzy neural networks with hybrid delays', 'l(2)-l(infinity) state estimation for delayed artificial neural networks under high-rate communication channels with Round-Robin protocol', 'Finite-time event-triggered non-fragile state estimation for discrete-time delayed neural networks with randomly occurring sensor nonlinearity and energy constraints', 'An overview of stability analysis and state estimation for memristive neural networks', 'Robust stability of uncertain fractional order singular systems with neutral and time-varying delays', 'Stability criteria of quaternion-valued neutral-type delayed neural networks', 'Robust stability of fractional-order quaternion-valued neural networks with neutral delays and parameter uncertainties', 'Event-triggered state estimation for Markovian jumping neural networks: On mode-dependent delays and uncertain transition probabilities', 'Deep-reinforcement-learning-based images segmentation for quantitative analysis of gold immunochromatographic strip *', 'A competitive mechanism integrated multi-objective whale optimization algorithm with differential evolution q', 'Passive filter design for fractional-order quaternion-valued neural networks with neutral delays and external disturbance', 'Fixed-time control of competitive complex networks', 'Robust stability for a class of fractional-order complex-valued projective neural networks with neutral-type delays and uncertain parameters', 'Global asymptotic stability of fractional-order complex-valued neural networks with probabilistic time-varying delays', 'Mean-square input-to-state stability for stochastic complex-valued neural networks with neutral delay', 'Mean-square stability of stochastic quaternion-valued neural networks with variable coefficients and neutral delays', 'A new framework for collaborative filtering with p-moment-based similarity measure: Algorithm, optimization and application', 'Design of robust H-infinity state estimator for delayed polytopic uncertain genetic regulatory networks: Dealing with finite-time boundedness', 'Dynamic event-triggered state estimation for time-delayed spatial-temporal networks under encoding-decoding scheme', 'H infinity State Estimation for BAM Neural Networks With Binary Mode Switching and Distributed Leakage Delays Under Periodic Scheduling Protocol', 'State estimate via outputs from the fraction of nodes for discrete-time complex networks with Markovian jumping parameters and measurement noise']",89,
"BACH, FRANCIS","['Image classification with segmentation graph kernels', 'Discriminative learned dictionaries for local image analysis', 'Optimal solutions for sparse principal component analysis', 'Discriminative Sparse Image Models for Class-Specific Edge Detection and Image Interpretation', 'A New Approach to Collaborative Filtering: Operator Estimation with Spectral Regularization', 'Non-local Sparse Models for Image Restoration', 'Automatic Annotation of Human Actions in Video', 'A Path Following Algorithm for the Graph Matching Problem', 'Online Learning for Matrix Factorization and Sparse Coding', 'Discriminative clustering for image co-segmentation', 'Learning Mid-Level Features For Recognition', 'Sparse Image Representation with Epitomes', 'Proximal Methods for Hierarchical Sparse Coding', 'Convex and Network Flow Optimization for Structured Sparsity', 'Structured Variable Selection with Sparsity-Inducing Norms', 'Ask the locals: multi-way local pooling for image recognition', 'A Tensor-Based Algorithm for High-Order Graph Matching', 'Task-Driven Dictionary Learning', 'Multi-Class Cosegmentation', 'Multi-task Regression using Minimal Penalties', 'Local Component Analysis', 'Adaptivity of Averaged Stochastic Gradient Descent to Local Strong Convexity for Logistic Regression', 'Large-Margin Metric Learning for Constrained Partitioning Problems', 'Weakly Supervised Action Labeling in Videos under Ordering Constraints', 'Metric Learning for Temporal Sequence Alignment', 'SAGA: A Fast Incremental Gradient Method With Support for Non-Strongly Convex Composite Objectives', 'Averaged Least-Mean-Squares: Bias-Variance Trade-offs and Optimal Sampling Distributions', 'Sequential Kernel Herding: Frank-Wolfe Optimization for Particle Filtering', 'Rethinking LDA: Moment Matching for Discrete ICA', 'Spectral Norm Regularization of Orthonormal Representations for Graph Transduction', 'Beyond CCA: Moment Matching for Multi-View Models', 'Identifying groups of strongly correlated variables through Smoothed Ordered Weighted l(1)-norms', 'Optimal Algorithms for Smooth and Strongly Convex Distributed Optimization in Networks', 'Integration Methods and Optimization Algorithms', 'Nonlinear Acceleration of Stochastic Algorithms', 'On Structured Prediction Theory with Calibrated Convex Surrogate Losses', 'Learning Determinantal Point Processes in Sublinear Time', 'Combinatorial Penalties: Which structures are preserved by convex relaxations?', 'A Generic Approach for Escaping Saddle points', 'Tracking the gradients using the Hessian: A new look at variance reducing stochastic methods', 'Convex Optimization over Intersection of Simple Sets: improved Convergence Rate Guarantees via an Exact Penalty Approach', 'Relating Leverage Scores and Density using Regularized Christoffel Functions', 'Efficient Algorithms for Non-convex Isotonic Regression through Submodular Optimization', 'Statistical Optimality of Stochastic Gradient Descent on Hard Learning Problems through Multiple Passes', ""Rest-Katyusha: Exploiting the Solution's Structure via Scheduled Restart Schemes"", 'On the Global Convergence of Gradient Descent for Over-parameterized Models using Optimal Transport', 'SING: Symbol-to-Instrument Neural Generator', 'Optimal Algorithms for Non-Smooth Distributed Optimization in Networks', 'Accelerated Decentralized Optimization with Local Updates for Smooth and Strongly Convex Objectives', 'Stochastic algorithms with descent guarantees for ICA', 'Sharp Analysis of Learning with Discrete Losses', 'Fast and Faster Convergence of SGD for Over-Parameterized Models (and an Accelerated Perceptron)', 'Sample Complexity of Sinkhorn Divergences', 'Overcomplete Independent Component Analysis via SDP', 'Massively Scalable Sinkhorn Distances via the Nystrom Method', 'Fast Decomposable Submodular Function Minimization using Constrained Total Variation', 'Implicit Regularization of Discrete Gradient Dynamics in Linear Neural Networks', 'Globally Convergent Newton Methods for Ill-conditioned Generalized Self-concordant Losses', 'Partially Encrypted Machine Learning using Functional Encryption', 'Towards closing the gap between the theory and practice of SVRG', 'UniXGrad: A Universal, Adaptive Algorithm with Optimal Guarantees for Constrained Optimization', 'An Accelerated Decentralized Stochastic Proximal Algorithm for Finite Sums', 'Localized Structured Prediction', 'On Lazy Training in Differentiable Programming', 'Learning With Subquadratic Regularization : A Primal-Dual Approach', 'Stochastic Optimization for Regularized Wasserstein Estimators', 'Structured Prediction with Partial Labelling through the Infimum Loss', 'Statistically Preconditioned Accelerated Gradient Method for Distributed Optimization', 'Statistical Estimation of the Poincare constant and Application to Sampling Multimodal Distributions', 'Explicit Regularization of Stochastic Gradient Methods through Duality', 'Disambiguation of Weak Supervision leading to Exponential Convergence rates', 'On the Consistency of Max-Margin Losses', 'Sampling from Arbitrary Functions via PSD Models']",73,
"BENGIO, YOSHUA","['Exploring Strategies for Training Deep Neural Networks', 'Incorporating Functional Knowledge in Neural Networks', 'Why Does Unsupervised Pre-training Help Deep Learning?', 'Word representations: A simple and general method for semi-supervised learning', 'Stacked Denoising Autoencoders: Learning Useful Representations in a Deep Network with a Local Denoising Criterion', 'Random Search for Hyper-Parameter Optimization', 'Learning Algorithms for the Classification Restricted Boltzmann Machine', 'Disentangling Factors of Variation for Facial Expression Recognition', 'A Semantic Matching Energy Function for Learning with Multi-relational Data', 'Knowledge Matters: Importance of Prior Information for Optimization', 'Joint Training Deep Boltzmann Machines for Classification', 'Metric-Free Natural Gradient for Joint-Training of Boltzmann Machines', 'Big Neural Networks Waste Capacity', 'Natural Gradient Revisited', 'Regularized Auto-Encoders Estimate Local Statistics', 'Scaling Up Spike-and-Slab Models for Unsupervised Feature Learning', 'Representation Learning: A Review and New Perspectives', 'Bounding the Test Log-Likelihood of Generative Models.', 'Multimodal Transitions for Generative Stochastic Networks.', 'How to Construct Deep Recurrent Neural Networks.', 'On the number of inference regions of deep feed forward networks with piece-wise linear activations.', 'An empirical analysis of dropout in piecewise linear networks.', 'Revisiting Natural Gradient for Deep Networks', 'An Empirical Investigation of Catastrophic Forgeting in Gradient-Based Neural Networks.', 'Deep Generative Stochastic Networks Trainable by Backprop', 'Marginalized Denoising Auto-encoders for Nonlinear Representations', 'On the Challenges of Physical Implementations of RBMs', 'Learning Concept Embeddings for Query Expansion by Quantum Entropy Minimization', 'The Spike-and-Slab RBM and Extensions to Discrete and Sparse Data Distributions', 'What Regularized Auto-Encoders Learn from the Data-Generating Distribution', 'Generative Adversarial Nets', 'Iterative Neural Autoregressive Distribution Estimator (NADE-k)', 'Identifying and attacking the saddle point problem in high-dimensional non-convex optimization', 'How transferable are features in deep neural networks ?', 'On the Number of Linear Regions of Deep Neural Networks', 'Challenges in representation learning: A report on three machine learning contests', 'FitNets: Hints for Thin Deep Nets.', 'NICE: Non-linear Independent Components Estimation.', 'Low precision arithmetic for deep learning.', 'Reweighted Wake-Sleep.', 'Neural Machine Translation by Jointly Learning to Align and Translate.', 'Target Propagation.', 'Ensemble of Generative and Discriminative Techniques for Sentiment Analysis of Movie Reviews.', 'Embedding Word Similarity with Neural Machine Translation.', 'On Using Very Large Target Vocabulary for Neural Machine Translation', 'Show, Attend and Tell: Neural Image Caption Generation with Visual Attention', 'BilBOWA: Fast Bilingual Distributed Representations without Word Alignments', 'Gated Feedback Recurrent Neural Networks', 'BinaryConnect: Training Deep Neural Networks with binary weights during propagations', 'Attention-Based Models for Speech Recognition', 'A Recurrent Latent Variable Model for Sequential Data', 'Equilibrated adaptive learning rates for non-convex optimization', 'Building End-to-End Dialogue Systems Using Generative Hierarchical Neural Network Models', 'Neural Networks with Few Multiplications.', 'Noisy Activation Functions', 'Unitary Evolution Recurrent Neural Networks', 'Deconstructing the Ladder Network Architecture', 'Bidirectional Helmholtz Machines', 'ReSeg: A Recurrent Neural Network-based Model for Semantic Segmentation', 'A Character-Level Decoder without Explicit Segmentation for Neural Machine Translation', 'Pointing the Unknown Words', 'Generating Factoid Questions With Recurrent Neural Networks: The 30M Factoid Question-Answer Corpus', 'A Hierarchical Latent Variable Encoder-Decoder Model for Generating Dialogues', 'Denoising Criterion for Variational Auto-Encoding Framework', 'Multiresolution Recurrent Neural Networks: An Application to Dialogue Response Generation', 'Towards an Automatic Turing Test: Learning to Evaluate Dialogue Responses', 'A Closer Look at Memorization in Deep Networks', 'Sharp Minima Can Generalize For Deep Nets', 'Count-ception: Counting by Fully Convolutional Redundant Counting', 'GibbsNet: Iterative Adversarial Inference for Deep Graphical Models', 'Variational Walkback: Learning a Transition Operator as a Stochastic Recurrent Net', 'Z-Forcing: Training Stochastic Recurrent Networks', 'Plan, Attend, Generate: Planning for Sequence-to-Sequence Models', 'Fine-grained attention mechanism for neural machine translation', 'Drawing and Recognizing Chinese Characters with Recurrent Neural Network', 'Straight to the Tree: Constituency Parsing with Neural Syntactic Distance', 'Focused Hierarchical RNNs for Conditional Sequence Processing', 'Mutual Information Neural Estimation', 'Image-to-image translation for cross-domain disentanglement', 'MetaGAN: An Adversarial Approach to Few-Shot Learning', 'Bayesian Model-Agnostic Meta-Learning', 'Dendritic cortical microcircuits approximate the backpropagation algorithm', 'Sparse Attentive Backtracking: Temporal Credit Assignment Through Reminding', 'Towards Non-Saturating Recurrent Units for Modelling Long-Term Dependencies', 'Combined Reinforcement Learning via Abstract Representations', 'Manifold Mixup: Better Representations by Interpolating Hidden States', 'GMNN: Graph Markov Neural Networks', 'On the Spectral Bias of Neural Networks', 'State-Reification Networks: Improving Generalization by Modeling the Distribution of Hidden Representations', 'Do Neural Dialog Systems Use the Conversation History Effectively? An Empirical Study', 'Interpolation Consistency Training for Semi-Supervised Learning', 'Tell, Draw, and Repeat: Generating and Modifying Images Based on Continual Linguistic Instruction', 'Depth with nonlinearity creates no bad local minima in ResNets', 'Learning Fixed Points in Generative Adversarial Networks: From Image-to-Image Translation to Disease Detection and Localization', 'Interactive Language Learning by Question Answering', 'MelGAN: Generative Adversarial Networks for Conditional Waveform Synthesis', 'Updates of Equilibrium Prop Match Gradients of Backprop Through Time in an RNN with Static Input', 'Unsupervised State Representation Learning in Atari', 'Non-normal Recurrent Neural Network (nnRNN): learning long time dependencies while improving expressivity with transient dynamics', 'Variational Temporal Abstraction', 'How to Initialize your Network? Robust Initialization for WeightNorm & ResNets', 'On Adversarial Mixup Resynthesis', 'Wasserstein Dependency Measure for Representation Learning', 'Gradient based sample selection for online continual learning', 'Combating False Negatives in Adversarial Imitation Learning', 'Compositional generalization by factorizing alignment and translation', 'Revisiting Fundamentals of Experience Replay', 'Learning to Navigate The Synthetically Accessible Chemical Space Using Reinforcement Learning', 'On the interplay between noise and curvature and its effect on optimization and generalization', 'Experience Grounds Language', 'Object-Centric Image Generation from Layouts', 'Meta-Learning Framework with Applications to Zero-Shot Time-Series Forecasting', 'GraphMix: Improved Training of GNNs for Semi-Supervised Learning', 'Visual Concept Reasoning Networks', 'Parameterizing Branch-and-Bound Search Trees to Learn Branching Policies', 'Deep Verifier Networks: Verification of Deep Discriminative Models with Deep Generative Models', 'An Analysis of the Adaptation Speed of Causal Models', 'Neural Function Modules with Sparse Arguments: A Dynamic Approach to Integrating Information across Layers', 'An End-to-End Framework for Molecular Conformation Generation via Bilevel Programming', 'FloW: A Dataset and Benchmark for Floating Waste Detection in Inland Waters', 'Interpolation consistency training for semi-supervised learning', 'A Two-Stream Continual Learning System With Variational Domain-Agnostic Feature Replay', 'Interpolated Adversarial Training: Achieving robust neural networks without sacrificing too much accuracy']",123,
